,1,2,3,4,5,6,7,8,9,10,11
1694898395343,0,0,0,0,0,0,0,0,0,0,0
1694898455343,0,0,0,0,1,0,0,0,0,0,0
1694898461698,0,0,0,0,1,0,0,0,0,0,1
1694898477416,0,0,0,1,1,0,0,0,0,0,1
1694898480487,0,0,0,1,1,0,1,0,0,0,1
1694898604229,0,0,0,1,1,0,1,0,1,0,1
1694898611803,0,1,0,1,1,0,1,0,1,0,1
1694898625513,0,1,0,1,1,1,1,0,1,0,1
1694898632274,0,1,1,1,1,1,1,0,1,0,1
1694898642663,0,1,1,1,1,1,1,0,1,1,1
1694898703514,0,1,1,1,1,1,1,1,1,1,1
1694899086721,0,1,1,1,1,1,2,1,1,1,1
1694899255942,0,1,1,1,1,1,2,2,1,1,1
1694899266456,0,2,1,1,1,1,2,2,1,1,1
1694899388692,0,2,1,1,1,1,2,2,1,2,1
1694899406481,0,2,1,1,1,1,2,2,1,2,3
1694899816113,0,2,1,1,1,1,4,2,1,2,3
1694899826257,0,2,1,1,1,1,4,2,1,2,4
1694899845617,0,2,2,1,1,1,4,2,1,2,4
1694899887192,0,2,3,1,1,1,4,2,1,2,4
1694899978073,0,2,3,1,1,1,4,4,1,2,4
1694900011987,0,5,3,1,1,1,4,4,1,2,4
1694900035515,0,5,4,1,1,1,4,4,1,2,4
1694900051731,0,5,4,1,1,1,5,4,1,2,4
1694900112276,0,5,6,1,1,1,5,4,1,2,4
1694900162372,0,5,6,1,1,1,5,4,2,2,4
1694900190501,0,5,6,1,3,1,5,4,2,2,4
1694900380734,0,5,6,3,3,1,5,4,2,2,4
1694900477149,0,5,6,4,3,1,5,4,2,2,4
1694900612653,0,5,6,4,3,1,7,4,2,2,4
1694900634248,0,5,6,4,3,1,7,4,2,2,6
1694900671234,0,5,6,4,3,1,7,5,2,2,6
1694900714002,0,5,7,4,3,1,7,5,2,2,6
1694900911931,0,5,7,4,3,1,7,7,2,2,6
1694900950309,0,5,10,4,3,1,7,7,2,2,6
1694901022321,0,5,10,4,5,1,7,7,2,2,6
1694901154545,0,5,10,4,5,1,7,7,-3,2,6
1694901254228,0,5,10,4,5,1,7,7,-3,2,8
1694901318324,1,5,10,4,5,1,7,7,-3,2,8
1694901332501,1,5,10,4,5,1,9,7,-3,2,8
1694901348837,1,5,10,4,5,1,9,7,-3,4,8
1694901463072,1,7,10,4,5,1,9,7,-3,4,8
1694901493754,3,7,10,4,5,1,9,7,-3,4,8
1694901691559,3,7,10,4,5,1,9,8,-3,4,8
1694901888799,3,7,10,6,5,1,9,8,-3,4,8
1694902146295,3,7,12,6,5,1,9,8,-3,4,8
1694902214072,3,7,12,6,5,1,9,8,-3,4,10
1694902297528,3,7,13,6,5,1,9,8,-3,4,10
1694902327361,3,7,13,6,5,3,9,8,-3,4,10
1694902496768,3,7,13,6,5,3,9,8,-3,4,12
1694902587722,3,7,13,6,11,3,9,8,-3,4,12
1694902605384,3,7,13,6,11,3,9,8,-1,4,12
1694902626776,3,7,14,6,11,3,9,8,-1,4,12
1694902648956,3,7,15,6,11,3,9,8,-1,4,12
1694902695165,3,7,15,6,11,4,9,8,-1,4,12
1694902711361,3,7,15,6,11,4,9,8,0,4,12
1694902838315,3,7,15,6,11,5,9,8,0,4,12
1694903159543,3,7,15,6,11,5,9,8,0,4,7
1694903172209,3,8,15,6,11,5,9,8,0,4,7
1694903356294,3,10,15,6,11,5,9,8,0,4,7
1694903380738,3,11,15,6,11,5,9,8,0,4,7
1694903393006,3,11,17,6,11,5,9,8,0,4,7
1694903429427,3,11,17,6,11,5,9,8,0,4,8
1694903466387,3,11,17,6,11,5,9,14,0,4,8
1694903475226,9,11,17,6,11,5,9,14,0,4,8
1694903496661,9,11,17,6,11,5,11,14,0,4,8
1694903527885,9,11,17,8,11,5,11,14,0,4,8
1694903562307,9,11,18,8,11,5,11,14,0,4,8
1694903651814,9,11,18,8,13,5,11,14,0,4,8
1694903678967,9,11,18,8,13,11,11,14,0,4,8
1694903711417,9,11,18,8,13,11,11,14,1,4,8
1694904083902,10,11,18,8,13,11,11,14,1,4,8
1694904312166,10,11,18,8,13,15,11,14,1,4,8
1694904406335,10,11,18,8,13,15,11,14,1,4,12
1694904513031,10,11,18,8,13,15,11,15,1,4,12
1694904536240,10,11,20,8,13,15,11,15,1,4,12
1694904660377,10,11,20,8,13,15,11,15,1,4,7
